DATE,GS3M,GS6M,GS1,GS3,GS5,GS10
2019-03-01,2.45,2.51,2.49,2.37,2.37,2.57
2019-04-01,2.43,2.46,2.42,2.31,2.33,2.53
2019-05-01,2.4,2.42,2.34,2.16,2.19,2.4
2019-06-01,2.22,2.17,2.0,1.78,1.83,2.07
2019-07-01,2.15,2.08,1.96,1.8,1.83,2.06
2019-08-01,1.99,1.93,1.77,1.51,1.49,1.63
2019-09-01,1.93,1.89,1.8,1.59,1.57,1.7
2019-10-01,1.68,1.67,1.61,1.53,1.53,1.71
2019-11-01,1.57,1.59,1.57,1.61,1.64,1.81
2019-12-01,1.57,1.58,1.55,1.63,1.68,1.86
2020-01-01,1.55,1.56,1.53,1.52,1.56,1.76
2020-02-01,1.54,1.51,1.41,1.31,1.32,1.5
2020-03-01,0.3,0.3,0.33,0.5,0.59,0.87
2020-04-01,0.14,0.17,0.18,0.28,0.39,0.66
2020-05-01,0.13,0.15,0.16,0.22,0.34,0.67
2020-06-01,0.16,0.18,0.18,0.22,0.34,0.73
2020-07-01,0.13,0.14,0.15,0.17,0.28,0.62
2020-08-01,0.1,0.12,0.13,0.16,0.27,0.65
2020-09-01,0.11,0.12,0.13,0.16,0.27,0.68
2020-10-01,0.1,0.11,0.13,0.19,0.34,0.79
2020-11-01,0.09,0.1,0.12,0.22,0.39,0.87
2020-12-01,0.09,0.09,0.1,0.19,0.39,0.93
2021-01-01,0.08,0.09,0.1,0.2,0.45,1.08
2021-02-01,0.04,0.06,0.07,0.21,0.54,1.26
2021-03-01,0.03,0.05,0.08,0.32,0.82,1.61
2021-04-01,0.02,0.04,0.06,0.35,0.86,1.64
2021-05-01,0.02,0.04,0.05,0.32,0.82,1.62
2021-06-01,0.04,0.05,0.07,0.39,0.84,1.52
2021-07-01,0.05,0.05,0.08,0.4,0.76,1.32
2021-08-01,0.05,0.06,0.07,0.42,0.77,1.28
2021-09-01,0.04,0.05,0.08,0.47,0.86,1.37
2021-10-01,0.05,0.06,0.11,0.67,1.11,1.58
2021-11-01,0.05,0.07,0.18,0.82,1.2,1.56
2021-12-01,0.06,0.15,0.3,0.95,1.23,1.47
2022-01-01,0.15,0.33,0.55,1.25,1.54,1.76
2022-02-01,0.31,0.64,1.0,1.65,1.81,1.93
2022-03-01,0.45,0.86,1.34,2.09,2.11,2.13
2022-04-01,0.76,1.26,1.89,2.72,2.78,2.75
2022-05-01,0.99,1.49,2.06,2.79,2.87,2.9
2022-06-01,1.54,2.17,2.65,3.15,3.19,3.14
2022-07-01,2.3,2.87,3.02,3.03,2.96,2.9
2022-08-01,2.72,3.15,3.28,3.23,3.03,2.9
2022-09-01,3.22,3.71,3.89,3.88,3.7,3.52
2022-10-01,3.87,4.31,4.43,4.38,4.18,3.98
2022-11-01,4.32,4.61,4.73,4.34,4.06,3.89
2022-12-01,4.36,4.71,4.68,4.05,3.76,3.62
2023-01-01,4.69,4.8,4.69,3.91,3.64,3.53
2023-02-01,4.79,4.97,4.93,4.23,3.94,3.75
2023-03-01,4.86,4.99,4.68,4.09,3.82,3.66
2023-04-01,5.07,4.99,4.68,3.76,3.54,3.46
2023-05-01,5.31,5.27,4.91,3.82,3.59,3.57
2023-06-01,5.42,5.42,5.24,4.27,3.95,3.75
2023-07-01,5.49,5.53,5.37,4.47,4.14,3.9
2023-08-01,5.56,5.54,5.37,4.59,4.31,4.17
2023-09-01,5.56,5.51,5.44,4.74,4.49,4.38
2023-10-01,5.6,5.57,5.42,4.89,4.77,4.8
2023-11-01,5.52,5.44,5.28,4.64,4.49,4.5
2023-12-01,5.44,5.34,4.96,4.19,4.0,4.02
2024-01-01,5.45,5.21,4.79,4.11,3.98,4.06
2024-02-01,5.44,5.28,4.92,4.33,4.19,4.21
2024-03-01,5.47,5.36,4.99,4.38,4.2,4.21
2024-04-01,5.44,5.38,5.14,4.71,4.56,4.54
2024-05-01,5.46,5.42,5.16,4.66,4.5,4.48
2024-06-01,5.51,5.37,5.11,4.5,4.32,4.31
2024-07-01,5.43,5.25,4.9,4.29,4.16,4.25
