Date,Open,High,Low,Close,Adj Close,Volume,EMA10,EMA30,ATR,ADX,RSI,MACD,MACDsignal,ClgtEMA10,EMA10gtEMA30,MACDSIGgtMACD,target_cls
2000-12-18,1330.0,1352.75,1329.5,1346.0,1346.0,91761,1349.5783851990268,1361.797415561157,31.208287842303573,21.718270182872903,46.10616230953983,-8.628904606855485,-9.966811725668524,-1,-1,-1,0
2000-12-19,1346.75,1366.75,1317.25,1317.75,1317.75,98115,1343.791406071931,1358.955646815276,32.514838710710464,20.4670693047204,40.72931843493133,-10.593883534445467,-10.092226087423914,-1,-1,1,0
2000-12-20,1318.75,1326.0,1276.0,1280.25,1280.25,107160,1332.2384231497615,1353.8778631497742,33.76377880280258,20.60328385184901,34.909498356893835,-15.004121913218796,-11.07460525258289,-1,-1,1,1
2000-12-21,1280.5,1304.25,1270.25,1288.5,1288.5,99016,1324.2859825770777,1349.65993649495,33.78065174545954,20.883291092820155,37.04091421707544,-17.630330079913392,-12.38575021804899,-1,-1,1,1
2000-12-22,1289.75,1327.5,1289.75,1327.25,1327.25,55440,1324.824894835791,1348.2141341404372,34.15346233506957,20.18628637472824,45.987322654087805,-16.395817047210585,-13.18776358388131,1,-1,1,1
2000-12-26,1324.0,1338.0,1318.5,1336.5,1336.5,44482,1326.9476412292836,1347.4583835507317,33.10678645399317,19.14435763442586,47.89084951986429,-14.503867325893909,-13.450984332283827,1,-1,1,1
2000-12-27,1337.5,1351.5,1327.5,1350.5,1350.5,65382,1331.2298882785049,1347.654616870039,32.45630170727937,17.862844379545745,50.72153404953296,-11.739475181547505,-13.108682502136563,1,-1,-1,1
2000-12-28,1349.75,1354.25,1341.5,1353.0,1353.0,56807,1335.188090409686,1347.9994802977783,31.04870872818799,16.77120300089146,51.23100327564152,-9.240427488039131,-12.335031499317076,1,-1,-1,0
2000-12-29,1352.75,1356.5,1326.0,1327.0,1327.0,50363,1333.6993466988338,1346.6446751172766,31.009515247603133,15.960396044059689,45.91447177540288,-9.251254195540469,-11.718276038561756,-1,-1,-1,0
2001-01-02,1331.0,1336.75,1289.25,1300.0,1300.0,92668,1327.5721927535913,1343.6353412387427,32.18740701563148,16.329349241768558,41.13990556216677,-11.308155414289104,-11.636251913707223,-1,-1,-1,1
2001-01-03,1301.0,1367.25,1288.75,1359.0,1359.0,130684,1333.2863395256657,1344.6266095459207,35.495449371657806,15.553807447977258,52.7119194271607,-8.084267133658614,-10.925854957697505,1,-1,-1,0
2001-01-04,1360.0,1365.5,1341.5,1349.0,1349.0,110846,1336.1433687028173,1344.9087637687646,34.67434584511082,14.83366149659962,50.88584833380103,-6.264021134490349,-9.993488193056072,1,-1,-1,0
2001-01-05,1345.75,1380.0,1303.0,1304.0,1304.0,117776,1330.2991198477596,1342.2694886869087,37.69760685617433,15.239185167820963,43.57102524131443,-8.356261207683474,-9.666042795981552,-1,-1,-1,1
2001-01-08,1308.25,1312.5,1287.5,1309.5,1309.5,120010,1326.5174616936215,1340.155328126463,36.79063493787617,15.982120829801357,44.61888547384779,-9.461506151550566,-9.625135467095356,-1,-1,-1,0
2001-01-09,1312.0,1325.5,1303.75,1308.75,1308.75,115968,1323.287014112963,1338.1291779247558,35.716303870885014,16.177741063709266,44.4975408703762,-10.279444427781982,-9.75599725923268,-1,-1,1,1
2001-01-10,1309.5,1328.75,1297.25,1327.0,1327.0,131074,1323.9621024560606,1337.4111664457394,35.41513930867894,16.526597115037358,48.18988835771415,-9.347294137903418,-9.674256634966827,1,-1,-1,1
2001-01-11,1325.75,1343.5,1319.5,1335.0,1335.0,96098,1325.968992918595,1337.2556073202077,34.599772215201874,16.28193042864997,49.767453623368745,-7.872278450529393,-9.31386099807934,1,-1,-1,0
2001-01-12,1332.0,1344.75,1322.0,1330.0,1330.0,109664,1326.7019032970322,1336.78750362213,33.753359914116025,16.006547923060317,48.7679778846522,-7.025787203150458,-8.856246239093563,1,-1,-1,1
2001-01-16,1328.75,1339.5,1323.5,1335.25,1335.25,103751,1328.2561026975718,1336.688309840057,32.48526277739345,15.750835596441354,49.90557943713444,-5.863712440068412,-8.257739479288533,1,-1,-1,1
2001-01-17,1337.25,1357.75,1334.5,1341.5,1341.5,120321,1330.664084025286,1336.998741463279,31.82560115043677,14.77665881359368,51.29218433354541,-4.387856572240025,-7.483762897878831,1,-1,-1,1
2001-01-18,1342.5,1364.0,1337.0,1356.0,1356.0,119657,1335.2706142025067,1338.2246291108097,31.480915353977004,13.809008831625222,54.4427839592302,-2.024860019699417,-6.391982322242948,1,-1,-1,0
2001-01-19,1359.0,1371.75,1345.75,1348.5,1348.5,111098,1337.6759570747784,1338.8875562649507,31.089421400121505,13.205900554078486,52.54939336786102,-0.7487247147778362,-5.263330800749926,1,-1,-1,1
2001-01-22,1346.0,1364.0,1341.25,1358.0,1358.0,111996,1341.371237606637,1340.120617151083,30.493748442969967,12.453833488712444,54.69850724239684,1.017463626283643,-4.007171915343212,1,1,-1,1
2001-01-23,1356.75,1372.75,1348.5,1366.0,1366.0,105167,1345.84919440543,1341.790254754239,30.047766411329256,12.10808221514634,56.48581593853525,3.027811031658985,-2.600175325942773,1,1,-1,1
2001-01-24,1366.25,1379.0,1365.25,1370.25,1370.25,104969,1350.2857045135338,1343.6263673507397,28.88364023909145,12.034830270948657,57.44633859980805,4.907395910153582,-1.0986610787235018,1,1,-1,0
2001-01-25,1369.75,1378.75,1362.75,1365.0,1365.0,100601,1352.9610309656186,1345.0053113926274,27.96338022201349,11.840506210784644,55.807543215827,5.905276986921081,0.3021265344054149,1,1,-1,0
2001-01-26,1364.25,1366.75,1350.25,1363.25,1363.25,128918,1354.8317526082335,1346.182388076974,27.14456734901253,11.04362567723797,55.24183317265565,6.480194901916548,1.5377402079076414,1,1,-1,1
2001-01-29,1363.0,1374.0,1358.5,1370.0,1370.0,64459,1357.5896157703728,1347.7190082010402,26.31281253836877,10.637044051971827,57.05030391582616,7.39524232931285,2.709240632188683,1,1,-1,1
2001-01-30,1370.25,1384.25,1363.25,1382.75,1382.75,75169,1362.1642310848504,1349.97907218807,25.93332592848529,10.710934551810368,60.31231934851255,9.044977580642351,3.9763880218794174,1,1,-1,0
2001-01-31,1381.0,1394.0,1371.25,1373.5,1373.5,89199,1364.225279978514,1351.4965514017429,25.70594550502205,11.183479462587178,56.93390347939409,9.496536793727955,5.080417776249125,1,1,-1,1
2001-02-01,1373.5,1383.5,1366.25,1382.5,1382.5,101160,1367.547956346057,1353.496773891953,25.10194939752048,11.336075056412046,59.32148198822489,10.460048578410806,6.156343936681461,1,1,-1,0
2001-02-02,1382.5,1386.0,1352.75,1353.25,1353.25,185372,1364.948327919501,1353.480852995698,25.683953011983306,10.746621865662926,49.68133876471744,8.76240056266738,6.677555261878645,-1,1,-1,1
2001-02-05,1354.25,1363.0,1351.25,1362.0,1362.0,92786,1364.4122682977736,1354.030475383072,24.68867065398449,10.120538269582408,52.18459988614108,8.030483734803965,6.948140956463709,-1,1,-1,0
2001-02-06,1362.75,1370.5,1356.0,1356.25,1356.25,91631,1362.9282195163603,1354.173670519648,23.96090846441417,9.92034947856018,50.40985079089234,6.906839681807924,6.939880701532552,-1,1,1,0
2001-02-07,1355.0,1356.5,1339.5,1349.5,1349.5,105779,1360.4867250588402,1353.872143389348,23.463700716956016,9.564847648431646,48.33183657018596,5.409319814853006,6.633768524196642,-1,1,1,0
2001-02-08,1348.75,1356.5,1333.75,1335.25,1335.25,102130,1355.8982295935966,1352.6707147835837,23.4127220943163,9.513897626011888,44.19034945827847,3.037652456813248,5.914545310719964,-1,1,1,0
2001-02-09,1336.25,1338.5,1318.75,1321.0,1321.0,90360,1349.5530969402157,1350.627442862062,23.15109908757942,10.140733235681685,40.456978506594176,0.0081392565618898,4.733264099888349,-1,-1,1,1
2001-02-12,1321.75,1338.0,1319.25,1333.75,1333.75,109773,1346.679806587449,1349.5385755806387,22.83673486703804,10.722794873232209,44.93922782171497,-1.3484097095217749,3.5169293380063245,-1,-1,1,0
2001-02-13,1334.25,1342.0,1322.25,1326.0,1326.0,115469,1342.919841753367,1348.0199578012428,22.616253805106748,11.001100488122717,42.82876876506847,-3.014100099364896,2.2107234505320803,-1,-1,1,0
2001-02-14,1326.25,1326.75,1308.5,1319.75,1319.75,138185,1338.707143252755,1346.1960895560012,22.304378533313407,11.887899574537988,41.1503963012796,-4.783354962069552,0.8119077680117537,-1,-1,1,1
2001-02-15,1320.0,1335.75,1318.5,1333.0,1333.0,102102,1337.6694808431632,1345.344728939485,21.94335149521959,12.114452825759995,45.98323062154103,-5.058032077156668,-0.3620802010219306,-1,-1,1,0
2001-02-16,1330.25,1330.25,1296.25,1305.0,1305.0,96917,1331.7295752353157,1342.7418432014538,23.00096924556105,13.25151475949452,38.74263412345088,-7.449211787527929,-1.7795065183231304,-1,-1,1,0
2001-02-20,1304.25,1311.5,1281.75,1285.25,1285.25,111887,1323.278743374349,1339.0326920271664,23.48304287087812,14.80503915087132,34.60367751094245,-10.813250457619231,-3.586255306182351,-1,-1,1,0
2001-02-21,1284.5,1288.5,1255.0,1256.5,1256.5,147007,1311.137153669922,1333.708002218962,24.19853980867253,16.996568031729833,29.639688649233044,-15.619112658315998,-5.99282677660908,-1,-1,1,1
2001-02-22,1258.0,1264.75,1230.25,1257.25,1257.25,160101,1301.3394893662996,1328.7752278822547,24.934358393767354,19.57077558501265,29.922110085054456,-19.14656466560473,-8.623574354408209,-1,-1,1,0
2001-02-23,1257.5,1261.75,1217.0,1247.5,1247.5,145235,1291.5504912996996,1323.531664793077,26.349761365641115,22.20913598770105,28.330099192516435,-22.46982119934273,-11.392823723395114,-1,-1,1,1
2001-02-26,1251.25,1274.25,1243.75,1273.25,1273.25,121672,1288.2231292452088,1320.2876864193302,26.64620698238104,23.877981422958666,37.75007810087349,-22.763314823218707,-13.666921943359831,-1,-1,1,0
2001-02-27,1273.0,1277.0,1254.25,1264.0,1264.0,142507,1283.818923927898,1316.6562227793734,26.367906483639533,25.258304228470955,35.92348916859318,-23.47174071288555,-15.627885697264976,-1,-1,1,0
2001-02-28,1263.75,1269.0,1230.75,1242.0,1242.0,153327,1276.2154832137348,1311.8396922774782,27.216627449093853,27.068759664088155,31.96229156454849,-25.51427677216429,-17.60516391224484,-1,-1,1,1
2001-03-01,1239.25,1244.0,1215.5,1243.5,1243.5,148305,1270.2672135385103,1307.4306798724797,27.30829691701572,29.04441952930696,32.50873950877308,-26.704135202970747,-19.42495817039002,-1,-1,1,0
2001-03-02,1243.0,1254.25,1221.0,1234.0,1234.0,145749,1263.6731747133267,1302.6932166549004,27.73270428008603,30.2492204315845,30.82041977104574,-28.08987459801301,-21.157941455914617,-1,-1,1,1
2001-03-05,1236.25,1244.5,1234.75,1243.75,1243.75,104974,1260.0507793109036,1298.8904284836165,26.50179683150845,31.3679641265565,34.57583897765447,-28.07767754742781,-22.54188867421725,-1,-1,1,1
2001-03-06,1243.5,1270.5,1242.5,1256.75,1256.75,128365,1259.450637618012,1296.1716911620929,26.60881134354356,30.910569055284963,39.30674529355578,-26.711110883323272,-23.375733116038457,-1,-1,1,1
2001-03-07,1257.0,1266.75,1254.75,1265.75,1265.75,136392,1260.595976232919,1294.2090014096998,25.565324819004733,30.48584506053282,42.411489818092925,-24.618090153517187,-23.624204523534203,1,-1,1,0
2001-03-08,1267.0,1269.25,1258.25,1265.5,1265.5,12348,1261.4876169178428,1292.3568077703644,24.52494447479011,29.95081074688552,42.34668801735251,-22.71765408140664,-23.44289443510869,1,-1,-1,0
2001-03-09,1266.5,1266.5,1227.25,1231.75,1231.75,4320,1256.080777478235,1288.4466911400184,25.57673415516225,30.410162017423527,34.64969034006387,-23.662125488369384,-23.48674064576083,-1,-1,1,0
2001-03-12,1230.0,1233.25,1173.0,1178.0,1178.0,3154,1241.8842724821925,1281.321098163243,28.053396001222087,31.958072668995587,26.415077716003,-28.420191399940222,-24.47343079659671,-1,-1,1,1
2001-03-13,1178.25,1199.25,1171.25,1196.5,1196.5,3349,1233.6325865763392,1275.8487692494857,28.0495820011348,33.42451147241837,32.372332414435945,-30.348360516983348,-25.64841674067404,-1,-1,1,0
2001-03-14,1199.0,1199.0,1154.0,1167.0,1167.0,2228,1221.5175708351867,1268.8262680075832,29.260326143910884,35.06707261649963,28.421095122700603,-33.866460417607186,-27.292025476060665,-1,-1,1,1
2001-03-15,1169.5,1182.0,1164.0,1171.25,1171.25,1490,1212.3780125015164,1262.5310249103195,28.456017133631537,36.59230796457509,29.75139160779858,-35.897832585701735,-29.01318689798888,-1,-1,1,0
2001-03-16,1175.0,1181.75,1165.0,1169.75,1169.75,150117,1204.627464773968,1256.5451523354604,27.61987305265785,38.008597930645166,29.542702096756628,-37.19992949704988,-30.65053541780108,-1,-1,1,1
2001-03-19,1164.75,1186.75,1158.25,1180.5,1180.5,116313,1200.240652996883,1251.6390134751082,27.68273926318229,39.44473753202093,33.161164783315726,-36.9386102168005,-31.908150377600965,-1,-1,1,0
2001-03-20,1180.5,1193.25,1151.25,1152.5,1152.5,148873,1191.560534270177,1245.2429480896174,28.70540074438356,40.902785470944245,28.985604756722243,-38.54653829960466,-33.23582796200171,-1,-1,1,0
2001-03-21,1153.0,1161.25,1127.0,1132.75,1132.75,184502,1180.8677098574176,1237.9853385354486,29.10144354835617,42.64199056241453,26.45520127385111,-40.94253279981172,-34.77716892956371,-1,-1,1,0
2001-03-22,1133.0,1136.75,1088.0,1119.0,1119.0,201555,1169.6190353378872,1230.308865081549,30.50491186633073,44.72556332895432,24.83000963130499,-43.45002099456292,-36.51173934256355,-1,-1,1,1
2001-03-23,1122.25,1155.0,1120.5,1153.25,1153.25,159208,1166.642847094635,1225.3373253988682,30.897418161592817,45.59412895405325,35.46487984707288,-42.1872266058972,-37.64683679523028,-1,-1,1,1
2001-03-26,1153.25,1170.75,1150.75,1166.5,1166.5,124308,1166.6168748956104,1221.5413689215218,30.11903115005047,45.56343394110877,39.05700515258654,-39.66011161072152,-38.04949175832853,-1,-1,1,1
2001-03-27,1166.25,1194.5,1160.75,1189.75,1189.75,133168,1170.8228976418632,1219.4903128620688,30.37838606790401,44.4130342629665,44.8571196240592,-35.37351027135924,-37.51429546093467,1,-1,-1,0
2001-03-28,1189.25,1189.25,1155.5,1159.5,1159.5,143824,1168.7641889797062,1215.619970096774,30.654929920196583,43.47133130496599,39.57915585167684,-34.025050415489886,-36.816446451845714,-1,-1,-1,1
